,projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
101618,cfdff84c78af62775c35ff1634d3c766,824c3b2aab37a5e3a355a37b7e2a9840,551a238098c7aedb09ff5c574c2c085b,150003000000.0,21.348536,-157.937386,Honolulu,HI,suburban,Central Oahu School District,Honolulu,f,f,Mrs.,Applied Sciences,Math & Science,Mathematics,Math & Science,Technology,moderate poverty,Grades 3-5,799.41,25.0,f,11/20/13,3/1/14
87639,b3585f94d71144392e8e6b381215519f,6c1a8cad364a4f20b921c9d87adc0b9b,80f6747fe7989ab4fc77343804e0ce5a,63789006391.0,35.417572,-119.02093400000001,Bakersfield,CA,suburban,Standard School District,Kern,f,f,Mrs.,Applied Sciences,Math & Science,,,Technology,highest poverty,Grades 6-8,438.56,325.0,t,1/21/12,2/7/12
53406,6df326e5aaa90921b1421fcfc283da85,9a7c83cd92db5c21783dbdfbc223e755,c8f953788101fd7a7bad9c6f0cd4bc5d,40880000875.0,32.195518,-110.937523,Tucson,AZ,urban,Tucson Unified School Dist,Pima,f,f,Mrs.,Early Development,Applied Learning,Parent Involvement,Applied Learning,Technology,highest poverty,Grades PreK-2,202.79,16.0,f,2/28/13,3/8/13
11777,1831ed8b5a09d899d1c2aacc85a560a2,8b3e8d58cc974363522757085d7a1dfd,490b9723d8e40289adae645418991168,483918000000.0,33.365069,-97.18722199999999,Sanger,TX,rural,Sanger Ind School District,Denton,f,f,Mrs.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,479.27,60.0,f,9/24/12,10/27/12
58468,786950f8d587b140dd4c0daef5f22295,349c8829709499c2c7d9b7c62d241f2d,3265ff6aebea7d87f4d087d41d458698,40168000100.0,33.486477,-112.157104,Phoenix,AZ,urban,Cartwright School District 83,Maricopa,f,f,Mrs.,Early Development,Applied Learning,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,368.95,100.0,t,11/9/13,11/25/13
81909,a78265e5e839c4cca22ac28d79b22988,66a3bd6638b917f661b6e1f3fc0a01a2,0e4295331a01ef382aae4cd549836582,421899000000.0,40.054171000000004,-75.008752,Philadelphia,PA,urban,Philadelphia City School Dist,Philadelphia,f,f,Mrs.,Literacy,Literacy & Language,,,Technology,highest poverty,Grades PreK-2,302.76,20.0,f,12/22/13,3/11/14
86272,b07ccc8d25c868997e4ba1b7933fedc6,2313edcad9cd66c1d25c469f5f9977fe,3661e14449a49c1ecf1d46a3596ba3ea,450090000000.0,34.504698,-82.702849,Anderson,SC,suburban,Anderson School District 5,Anderson,f,t,Mrs.,Literature & Writing,Literacy & Language,Environmental Science,Math & Science,Books,highest poverty,Grades 3-5,209.48,20.0,f,6/10/12,7/3/12
30500,3f0c28ee4085374c9487880ea7ac1fa1,0fd2b0087df29c9e83238e43d6d11315,929804e35aaa0bbbebc0a4530c563b80,530354000000.0,47.452877,-122.285711,Seatac,WA,suburban,Highline School District 401,King,f,f,Mrs.,Visual Arts,Music & The Arts,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,398.2,24.0,f,3/13/13,5/7/13
45257,5d3b822776046f57fbb531de4885f4ff,8771e480a8d4851aa144ffeaf2ab3ebd,fd5f31a6eec1721086dc3ee321a07404,62271003449.0,33.924915999999996,-118.294895,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mr.,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Technology,high poverty,Grades PreK-2,392.42,25.0,t,1/6/12,4/28/12
76618,9ce86dc7f1eaff18275979f7767b6f6a,14c330a6c411d0d079d414dde9717bde,f34dc348938a0b877b010e8bce4b69df,63255005022.0,37.906673,-122.293892,El Cerrito,CA,suburban,West Contra Costa Usd,Contra Costa,f,f,Ms.,Literature & Writing,Literacy & Language,,,Technology,highest poverty,Grades 9-12,795.31,240.0,f,9/4/12,10/29/12
7124,0eeeded3c0441b04f03931e74607a928,c8a88294636b259904184b904ecd9a33,2cd2b61fc7c37e77ed9b451d28f295ee,402523000000.0,35.02346,-97.37105,Purcell,OK,,Purcell School District 15,McClain,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,524.11,24.0,f,9/14/12,9/28/12
3720,07e329199ad49f5eafef5bc919307957,aab631a613cb9513e5533d1c3a6e4b92,de789fa98e54665390f17b43a4f4320b,20000100439.0,60.694331000000005,-161.96718,Napaskiak,AK,rural,Lower Kuskokwim School Dist,Bethel,f,f,Ms.,Mathematics,Math & Science,History & Geography,History & Civics,Technology,highest poverty,Grades 9-12,275.11,24.0,f,2/24/13,3/28/13
48559,63fa338e180c326a623955f5914942cf,d3f01948a64e091cb9a12f8cd1278f64,6a62fe6ae67bd4c245a1c76db932018d,450363000000.0,34.855383,-81.976107,Roebuck,SC,rural,Spartanburg School District 6,Spartanburg,f,f,Mrs.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,high poverty,Grades 9-12,558.11,120.0,f,9/9/12,10/5/12
33746,459d6044b1445bbe8a16aee07582ffac,7fb4b2b6a246697584cfaad1d9a29dfd,80fd2cd0510ef89da7146db31eaf2285,170993000000.0,41.866403000000005,-87.694878,Chicago,IL,urban,Austin-n Lawndale Elem Network,Cook,f,t,Ms.,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,285.98,30.0,f,7/6/13,7/16/13
84063,abdb0860b2f096ce223192f44e97d407,7629c57bb28f6d1e96d1d7232942ecbb,cf4141575bdf8143662d5f8ccc6b8148,240009000000.0,39.329989000000005,-76.60376600000001,Baltimore,MD,urban,Baltimore City Public Sch Dist,Baltimore City,f,f,Ms.,Literacy,Literacy & Language,,,Supplies,highest poverty,Grades PreK-2,571.44,18.0,f,4/7/13,5/14/13
101900,d06aa49e77ac655a043c94168f9b1bd1,c2a9f72ddfa759a5bdb5d486b9a2eeef,9ea504df3adfef0564734d5d92329271,530802000000.0,47.913237,-122.09281899999999,Snohomish,WA,suburban,Snohomish School District 201,Snohomish,f,f,Mrs.,Special Needs,Special Needs,Early Development,Applied Learning,Other,high poverty,Grades PreK-2,265.01,20.0,f,12/9/12,3/15/13
118092,f1c58846820088e2fce0f806fa8c4dfa,5c426b898fd5796e2446951316fa922e,9ce3e6cdc8249aa6373b95d4f6ec3751,470381000000.0,35.035149,-89.805539,Memphis,TN,suburban,Shelby Co School District,Shelby,f,f,Ms.,Special Needs,Special Needs,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades PreK-2,641.67,10.0,f,2/26/12,3/18/12
7285,0f348ac39eee6cd587607bce1f01e708,2957c19123fd1b98cb890bf3d56fc510,3903b11fb45d9f74d295bed9dd43d5f3,421899000000.0,39.957825,-75.21942800000001,Philadelphia,PA,urban,Philadelphia City School Dist,Philadelphia,f,f,Ms.,History & Geography,History & Civics,,,Books,highest poverty,Grades 9-12,825.47,90.0,t,1/16/12,3/2/12
74352,98569fba21055fdde762b9ba55c870a9,61bd753eedf8111a23948b6f513a47c7,bd6f44cf6cac99d07ad0b74ee1ea1eea,60780000741.0,37.698202,-122.081139,Castro Valley,CA,suburban,Castro Valley Unified Sch Dist,Alameda,f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,high poverty,Grades 3-5,259.05,65.0,f,1/20/13,2/4/13
62301,800b0103f44cc219f4557905b42f1bbf,3a35e765fd2b85ed7591a7fdd45324b5,484d89e672baba6154821021676febc3,483696000000.0,32.224378,-96.485516,Rice,TX,rural,Rice Ind School District,Navarro,f,f,Ms.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Supplies,highest poverty,Grades 9-12,459.11,100.0,f,1/26/12,4/12/12
69615,8ea153d4380c441c2919d1e1d21cb18a,67e66b560e60fd7830566c6d53923579,a8d5fa85a966a13f55b1d90e294b77e9,363192000000.0,40.968136,-73.828484,Yonkers,NY,suburban,Yonkers Public School District,Westchester,f,t,Mr.,History & Geography,History & Civics,,,Other,highest poverty,Grades 6-8,355.05,90.0,t,5/19/12,7/7/12
28686,3b6278780e8bfafe1aff249587a03251,d5ca7e4646caec67ad7c33134826064c,45ef7b33c70c3b0aae6fb4f26b414ff5,120018000000.0,26.268806,-80.24099,Coral Springs,FL,suburban,Broward Co Public Schools,Broward,f,f,Mrs.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades PreK-2,266.91,18.0,t,11/7/13,11/29/13
14798,1ea4a8467525f29e7b60025a90796649,967e579f4c8b3892e1fd8edccfea9e78,9093f8c5a124cc5261c4ed779062e80c,51393001212.0,34.191346,-92.063364,Pine Bluff,AR,urban,Watson Chapel School Dist 24,Jefferson,f,f,Ms.,Economics,History & Civics,Civics & Government,History & Civics,Technology,highest poverty,Grades 9-12,415.41,300.0,t,1/17/12,3/6/12
33316,44c2ceeba2e58b20069baa6474531969,580d291e5d3ccd8339ab812e77eceed0,485ef3e9dc7c8bde55517bef0225e9e6,400549000000.0,36.027297999999995,-95.804435,Broken Arrow,OK,suburban,Broken Arrow School District,Tulsa,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades 3-5,642.8,20.0,t,9/18/13,9/29/13
29427,3ce109b82f244f41dfa6ceede1748f23,33164fd1ce698bd6e680ca2e3feb5a6f,69dec26fd45cd8be455bc698e2c24e47,62271003215.0,34.087734000000005,-118.21913899999998,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mr.,Visual Arts,Music & The Arts,Character Education,Applied Learning,Technology,high poverty,Grades 6-8,611.58,999.0,t,4/21/12,7/26/12
91959,bc37ea512fc837ddc3ee78e3d86eb812,0232c27c7335b15bee3a63d6c4efa3e4,db5046d69667027c75bd76c87e08f2e1,63441005600.0,37.760526,-122.396166,San Francisco,CA,urban,San Francisco Unified Sch Dist,San Francisco,f,f,Mr.,Other,Applied Learning,College & Career Prep,Applied Learning,Technology,highest poverty,Grades 3-5,570.11,22.0,f,8/14/12,8/31/12
64915,85130b402aed167ee1131baab1fee4b6,fda83eedc25374759f207c9966ac047c,142b0478f167acaccbf3554681cbac3c,240006000000.0,39.184101,-76.641938,Glen Burnie,MD,suburban,Anne Arundel Co School Dist,Anne Arundel,f,f,Mrs.,Literacy,Literacy & Language,Early Development,Applied Learning,Books,highest poverty,Grades PreK-2,437.47,23.0,t,9/8/13,10/28/13
21396,2c2102157e9778cb8f44f67a1ed7fc31,3b02747f5bf7bb1dc69d86555255bb8e,ec59847197149b7ba59bdf89da4b6947,,42.927391,-85.651268,Grand Rapids,MI,urban,Michigan Dept of Education,Kent,t,f,Ms.,Visual Arts,Music & The Arts,Character Education,Applied Learning,Supplies,highest poverty,Grades 3-5,242.12,50.0,f,10/19/13,12/2/13
29775,3d998a6863e63d65803f3d0f5d9ed4b6,d8353dd3844edadd40009624c4659bdf,7fbfa864f09ea120d720c36b7b99375f,421674000000.0,40.585359999999994,-79.701389,New Kensingtn,PA,suburban,New Kensington Arnold Sch Dist,Westmoreland,f,f,Mrs.,Literacy,Literacy & Language,Social Sciences,History & Civics,Books,highest poverty,Grades PreK-2,507.38,230.0,f,9/23/13,1/19/14
44752,5c38b3e709496b0a42f10a42e1ff35e0,61d9c504567ec9d425fbed980ad7d5ee,4378e21282e16cb4798357cd07e77c8e,63255005050.0,37.943016,-122.364521,Richmond,CA,suburban,West Contra Costa Usd,Contra Costa,f,f,Mr.,Music,Music & The Arts,,,Supplies,highest poverty,Grades PreK-2,307.22,20.0,f,3/17/12,5/4/12
23243,2febb52292d0c07efd45636934cdeba2,f801a646b1968ef95e09f81f17078456,6dbf315e07403dce8d836c3ed7e636f0,63509006037.0,37.963951,-122.52629099999999,San Rafael,CA,urban,San Rafael Elem Sch District,Marin,f,f,Ms.,Literacy,Literacy & Language,,,Technology,highest poverty,Grades 3-5,200.34,23.0,f,10/7/12,2/4/13
80260,a43b0dae4269a6933d4415cc044f5751,52462c5c1baec9399c185699f484704e,3870254e36f88935745384ebc06a4caf,130012000000.0,33.752884,-84.34214,Atlanta,GA,urban,Atlanta Public Schools,De Kalb,f,f,Mrs.,Literacy,Literacy & Language,Special Needs,Special Needs,Technology,highest poverty,Grades 3-5,1013.39,10.0,t,11/1/13,11/16/13
83334,aa7c2b7eb7db0fb19987410f2f1aadeb,8d8ead13c4bb19e459b0bd87a93726de,a6c928f2587cd713fa7289112ea8e53f,170993000000.0,41.824459000000004,-87.710701,Chicago,IL,urban,Chicago Psd-area 10,Cook,f,f,Ms.,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades PreK-2,364.65,27.0,t,7/18/12,9/8/12
122330,faadbc29f2d594c3e6c9e42817893fc9,aa2e981ea998a75bfd803c3088580bfb,f8d336084631c0b4fbd54e6fb1bfe016,360015000000.0,40.609825,-73.94832199999999,Brooklyn,NY,urban,New York City Dept Of Ed,Kings (Brooklyn),f,f,Ms.,Visual Arts,Music & The Arts,Special Needs,Special Needs,Supplies,highest poverty,Grades 9-12,1092.21,150.0,t,12/8/13,1/30/14
99184,cb108fac9e05eff96a6d820df9a3230f,0f382bfca533c6ac44158da76e86ebca,017f6e4ebb09cb0a1567b8ccf4f5d451,280480000000.0,32.849323,-90.48665600000001,Yazoo,MS,,Yazoo Co School District,Yazoo,f,f,Mr.,Social Sciences,History & Civics,History & Geography,History & Civics,Technology,highest poverty,Grades 6-8,284.84,150.0,f,7/7/12,8/11/12
54785,70cbe49b7551f1230e703159f31ca78e,eed8551454c3b78bcf95f9cabc226533,a435a9bb1e4fdc7e354655e82a0812ad,61668008503.0,33.916283,-118.336473,Hawthorne,CA,suburban,Hawthorne School District,Los Angeles,f,f,Mrs.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades 3-5,559.62,42.0,t,5/5/12,8/19/12
42430,5755337ba5c94f77a863b114c133baf0,c20117b73941ec7166d10e446f0dc749,7c2560bb51eb2fbedc7d937f11147b98,,25.704096,-80.442604,Miami,FL,suburban,Miami-dade Co Public Sch Dist,Miami-Dade,f,f,Ms.,Mathematics,Math & Science,Applied Sciences,Math & Science,Technology,highest poverty,Grades 3-5,507.22,44.0,t,11/25/13,12/18/13
118088,f1c48c272bcf0a930dc7f7db8176dd1d,d7308c24558a8519ee09847e395f1a9f,2cbca9d00b500a1eae75cc996f7fc6fc,360008000000.0,40.80267,-73.96538199999999,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Mr.,College & Career Prep,Applied Learning,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 6-8,3581.82,60.0,f,12/13/12,1/8/13
64346,84000fdfa242e804a7fcb096e5e0de45,ba99428f97066261144c6df533249d25,ade1d58411cc84ac2b1ab6d0dbfbd41a,60639010503.0,35.288774,-119.045229,Bakersfield,CA,urban,Panama-buena Vista Union SD,Kern,f,f,Ms.,Environmental Science,Math & Science,Applied Sciences,Math & Science,Supplies,highest poverty,Grades 3-5,1038.33,175.0,f,9/8/12,9/17/12
64456,8435e01396f1c73c5cd12c28de1e5ba0,a427f3306201622b7596577fe2fc8111,6cc09ef7c3ac708ccffe3e3aee2146d8,180657000000.0,41.723037,-86.84057,Michigan City,IN,urban,Michigan City Area Schools,La Porte,f,f,Ms.,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 3-5,581.61,20.0,t,9/5/13,10/18/13
120515,f6e0a7585ffa40368a4cab298b778b40,be85424667ae86e7664ee6f4340b04fc,3807015f9d80e7b3ccc8921bec2cfc1f,80336000319.0,39.754234000000004,-105.033875,Denver,CO,urban,Denver Public School Dist 1,Denver,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,high poverty,Grades PreK-2,2229.62,500.0,f,10/10/13,12/1/13
70752,90f40975f73f6880a4c8239d7882700a,ffcec03c53d200081604475a6afcb964,ae8f3cf310fda5dc8296fed1b8c4f44e,90291001487.0,41.40444,-73.287846,Newtown,CT,rural,Newtown Public Schools,Fairfield,f,f,Ms.,Literature & Writing,Literacy & Language,Mathematics,Math & Science,Technology,low poverty,Grades 6-8,1004.69,12.0,f,8/2/13,8/18/13
107601,dc28d018ec05217cd47751d125845162,a6947cb4d138245d35d1ccbd2e44af8d,c6c33aa0b1a75edad66c3ecd1755cbca,63003004703.0,37.471672999999996,-121.13686499999999,Patterson,CA,,Patterson Joint Unif Sch Dist,Stanislaus,f,f,Mr.,Music,Music & The Arts,,,Supplies,highest poverty,Grades 9-12,464.86,30.0,f,3/8/13,4/10/13
35225,489a1f30109d8a7b8264854e347a0b74,7b719c2caffffd23c18552bf9f78a4d5,87177ba73bbff0463f15d5983946870d,460951000000.0,43.1813,-99.290525,Burke,SD,rural,Burke School District 26-2,Gregory,f,f,Mr.,History & Geography,History & Civics,Environmental Science,Math & Science,Technology,high poverty,Grades 6-8,286.38,30.0,f,8/23/13,10/7/13
82251,a845838d85457c1769b7af909fa2397e,20cfd71c357262581301c2ff34b64cbc,d41cd2822ccd1e54ddb9179858abfa3e,510264000000.0,36.996342,-76.421745,Newport News,VA,urban,Newport News Public Schools,Newport News City,f,t,Mrs.,Literacy,Literacy & Language,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,154.65,19.0,t,12/12/13,1/22/14
27426,38b7f78dee096a025c7733604bf30a12,10b5978e35cca7fa50e27eb3c989e131,6dbdb9cdde7c2d2b761560cd0837f633,80336000340.0,39.76487,-105.03990900000001,Denver,CO,urban,Denver Public School Dist 1,Denver,f,f,Mrs.,Civics & Government,History & Civics,Health & Wellness,Health & Sports,Other,moderate poverty,Grades 3-5,427.38,32.0,f,8/13/13,9/25/13
28373,3ab23d8869d5176bfd20dac8349419af,d2c31980c32615291cdbfe006eae7d5d,244b7593ebd54b5bf21191d734f4c42e,62271012314.0,33.92738,-118.27716799999999,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,t,f,Mr.,Health & Life Science,Math & Science,Applied Sciences,Math & Science,Technology,highest poverty,Grades 9-12,863.78,130.0,t,1/29/12,2/15/12
74779,99208debc1f6e7bf0d9e5260c42eb994,b94aaccd5e8aa7179e3b1d85c67efa31,39234f9b2c07bff622ba70f11595a726,280429000000.0,34.528847,-90.45339399999999,Dundee,MS,rural,Tunica Co School District,Tunica,f,f,Mrs.,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades 3-5,192.02,32.0,f,1/27/12,3/19/12
87248,b28fb4674fb53fcf299c3297a4db4a99,79d835d2d616f06a959da9c93282f346,8ef8a9c96d14f413b8872b0b0510f872,370348000000.0,36.01744,-79.075546,Chapel Hill,NC,urban,Orange Co School District,Orange,f,f,Mrs.,Health & Life Science,Math & Science,,,Technology,high poverty,Grades PreK-2,194.19,18.0,f,7/24/12,8/26/12
69401,8e3a335710f75f385daeebe4646ce1ee,64933f5e65f11d88965365638ac3836f,2c430135f406300c43bbc4ddfc4d13bc,10270001548.0,32.48288,-85.02439100000001,Phenix City,AL,suburban,Phenix City School District,Russell,f,f,Ms.,Literacy,Literacy & Language,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,527.04,17.0,f,4/5/13,4/23/13
95034,c27b731d7bc4e1176edf1417f9cd6dfc,bca6ec517d8ead3edcc2c55321517d06,529f75765b995dca911e3daf0f28971a,120150000000.0,26.723497,-80.059434,West Palm Bch,FL,urban,Palm Beach Co School District,Palm Beach,f,t,Mrs.,Literacy,Literacy & Language,Early Development,Applied Learning,Supplies,highest poverty,Grades PreK-2,247.78,18.0,t,3/1/13,4/20/13
50366,67b58dfb4296f5f8c66b9a3f32f4cd23,87096e2664e59a94e5b143fe0e670696,19cca9732287f944aca7f2b391be0f49,62271003441.0,34.010028999999996,-118.258072,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literacy,Literacy & Language,,,Technology,high poverty,Grades PreK-2,575.99,24.0,t,1/30/12,2/22/12
88860,b5e13215a51ba9815a07017b99685a43,b9caa9fa0e68a26199bab46704e86643,bc4a235b4f3650cc6a69e1df45c1fb69,130174000000.0,33.722111,-84.220612,Decatur,GA,suburban,Dekalb Co School District,De Kalb,f,f,Ms.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Supplies,highest poverty,Grades 3-5,300.74,100.0,f,4/7/13,8/5/13
84724,ad4b633594bb7ed16ffc4e3d62cbb66f,d47866f2bd891531532165b409b0b008,ee21f3c024d28d82e66f2e54bfe73021,240009000000.0,39.299713,-76.63041700000001,Baltimore,MD,urban,Baltimore City Public Sch Dist,Baltimore City,f,f,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Books,highest poverty,Grades 3-5,231.2,71.0,f,1/30/12,3/17/12
836,01cf84e0ceb579a5f1a4f091fcaef316,46921754c371b818bb055c88e52c17bb,6b682e568053e814c7500fa5a291449e,62271003179.0,34.209915,-118.559128,Reseda,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,Literacy,Literacy & Language,Mathematics,Math & Science,Supplies,highest poverty,Grades PreK-2,371.15,8.0,t,8/21/12,9/14/12
78477,a095cb7211c2df6b1db741873707a21c,f1f266f720ff908488abdd8fda1eede2,c71a936736762ea799f5becf9840a1e1,62271003221.0,33.948260999999995,-118.28112,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Technology,high poverty,Grades PreK-2,445.8,24.0,t,2/12/12,2/18/12
107333,dba2a311be636074984a97bcbab11636,f9624399ee64cd28ace31b8cc0ca34c9,6391341b4eca9a4c5596671cd48aa573,341266000000.0,40.673023,-74.516068,Millington,NJ,suburban,Long Hill Twp School District,Morris,f,f,Mrs.,Music,Music & The Arts,Performing Arts,Music & The Arts,Supplies,low poverty,Grades 3-5,171.34,400.0,f,5/19/12,6/2/12
58867,792682d4fbf65351701e9ab6d0022b34,1cfbb131512fc0ca29fbe83922abba22,434ae9f450ec6782a72630d89085dcf6,400549000000.0,36.017527,-95.825725,Broken Arrow,OK,suburban,Broken Arrow School District,Tulsa,f,f,Mrs.,Mathematics,Math & Science,,,Technology,moderate poverty,Grades 6-8,616.99,150.0,f,7/26/13,11/23/13
51242,697cf9e40595e7552525b13bafdc21a5,bba6259ce4a424a85762095150a853eb,bf70085dde821a183791911a1ab34ca5,110003000000.0,38.907247999999996,-77.051913,Washington,DC,urban,Dc Public Schools,District Of Columbia,f,f,Ms.,Health & Life Science,Math & Science,Nutrition,Health & Sports,Supplies,highest poverty,Grades PreK-2,470.36,30.0,t,2/18/13,4/8/13
97059,c6b9af5124c09d779740b36e943423b7,ba0bd0bf4d24f1212fe321d8122261f6,e475a1bc000925c762ea773e9371bb4c,470294000000.0,35.092116,-90.043642,Memphis,TN,urban,Memphis City School District,Shelby,f,f,Mrs.,Music,Music & The Arts,,,Supplies,highest poverty,Grades 3-5,218.51,325.0,t,1/26/12,2/21/12
89585,b76a0257e5bb5dff93cf55864987356b,4bbc4f837b4ec449802c5e0e2cf39868,d822607706130cda26f628d842e26b0d,62271003433.0,33.946843,-118.210952,South Gate,CA,suburban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Health & Wellness,Health & Sports,Early Development,Applied Learning,Supplies,high poverty,Grades PreK-2,856.99,20.0,t,1/28/12,4/2/12
