projectid,teacher_acctid,schoolid,school_ncesid,school_latitude,school_longitude,school_city,school_state,school_metro,school_district,school_county,school_charter,school_magnet,teacher_prefix,primary_focus_subject,primary_focus_area,secondary_focus_subject,secondary_focus_area,resource_type,poverty_level,grade_level,total_price_including_optional_support,students_reached,eligible_double_your_impact_match,date_posted,datefullyfunded
0e07da2959a1f41b7ebbbec009af8ed4,a42f49b56cab43d6e4b5837423ff428c,5865b20837d790d7bfe36b44af9992f7,420643000000,40.326201,-78.873358,Johnstown,PA,,Conemaugh Valley Sch District,Cambria,f,f,Mrs.,Mathematics,Math & Science,,,Other,high poverty,Grades 3-5,199.28,60,t,8/25/13,10/16/13
c202ec5e9c1be8bc2d8fabe1e209accc,6718cfca31246a6f0a6e7da5057e37dc,46c881140cdfaf75211316b50d1b1da2,450339000000,34.064334,-80.930477,Columbia,SC,suburban,Richland Co School District 2,Richland,f,t,Mrs.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades PreK-2,560.22,23,f,10/18/13,11/25/13
bb9f80b03a7169591458d577ab77cf3c,3a512805493142920cdd4fbbe74a6a73,d61b4313765e6ff0205b1c72c00c2aff,62271003365,33.960873,-118.266243,Los Angeles,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,highest poverty,Grades PreK-2,549.91,24,f,2/10/12,3/20/12
753245d49987cc84f0c332ea84ab0cf9,65502606138ea4089d60a9c6b4c952b9,f700a40a95c395d1f6776d450a85dcd6,120039000000,25.657755,-80.359001,Miami,FL,urban,Miami-dade Co Public Sch Dist,Miami-Dade,f,t,Mr.,History & Geography,History & Civics,Social Sciences,History & Civics,Supplies,high poverty,Grades 6-8,299.6,130,f,7/24/12,8/1/12
8f47010c7c1241a13db3d6aa95118e64,1e7d32afe4de38aeba1f0e85cb5969f3,0d339e556e4183e1fd3aed14459bc6b8,63441005601,37.759073,-122.436365,San Francisco,CA,urban,San Francisco Unified Sch Dist,San Francisco,f,f,Ms.,Literacy,Literacy & Language,,,Books,high poverty,Grades PreK-2,386.58,22,f,2/3/13,5/13/13
1953c053f05595f9007ff2cec792f94a,9de8dae8bbe75e171bc4651c098a284e,16c8cf6cf019b6b4c642c5a1b584eb11,80453001903,38.81255,-104.781677,Colorado Spgs,CO,urban,Harrison School District 2,El Paso,f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Other,highest poverty,Grades PreK-2,636.54,30,f,7/29/12,11/22/12
1642d185fb9780fa8e40d1fbed1ec550,67888ead3a623a256569bc3c6e29320d,8a4ca4320dc11d7529dd0c694f87b160,402025000000,35.354284,-97.529808,Oklahoma City,OK,urban,Moore School District I-2,Cleveland,f,f,Mrs.,Health & Life Science,Math & Science,Literature & Writing,Literacy & Language,Other,moderate poverty,Grades 6-8,846.42,450,f,7/19/13,7/31/13
e2b8e42b4a18032f200939f36037fa61,cddacf0dbd612d5b788a33edfa18cabe,99883b92c9d476be810e0a63b187b528,,30.235164,-81.586223,Jacksonville,FL,rural,Duval Co Public School Dist,Duval,t,f,Ms.,Literacy,Literacy & Language,,,Books,high poverty,Grades PreK-2,684.8,24,f,2/25/12,3/28/12
c7b1364803cfc13eb6f64b01c5acd969,3d7d48860d0ae52d5172db3aa1e50bc6,5f92774adbb6f33157e82cefe9b9044f,62271002923,34.218203,-118.54901,Reseda,CA,urban,Los Angeles Unif Sch Dist,Los Angeles,f,t,Mr.,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 9-12,575.99,300,f,2/10/12,5/6/12
e6008503970d8ea07f394551d1161453,ea495780cb3aedc3f434cec41ef9093d,b9459bc6aed305e21ce087417504bc96,170942000000,40.11718,-88.263116,Champaign,IL,urban,Champaign Cmty Unit Sch Dist 4,Champaign,f,f,Mrs.,Mathematics,Math & Science,Health & Life Science,Math & Science,Technology,high poverty,Grades 3-5,177.64,25,f,3/18/13,5/7/13
c5ae29acf7ea89088302037ae81cf090,dd5f1aec09cc47362b638634e510c1ee,d6c577081909f782e586524a835335f1,260867000000,41.918499,-85.525404,Centreville,MI,rural,Centreville Public School Dist,St Joseph,f,f,Ms.,Literacy,Literacy & Language,Literature & Writing,Literacy & Language,Supplies,high poverty,Grades PreK-2,345.48,18,f,1/14/13,4/8/13
d0854ea3a6b7c880d8f686df64dfcdf0,e9632cd64d2bc4f346c73caf49854cff,8f01e755fd15630c1420799792f949a4,360008000000,40.867664,-73.917039,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Ms.,Mathematics,Math & Science,,,Supplies,highest poverty,Grades 3-5,904.21,80,f,2/17/13,3/12/13
f74de44d6f613c59b71b8d998e04a1aa,627f08a8bbf004c26d487366eb9a1307,f4f073c881542595694d38f4651502bf,62271011647,33.985253,-118.195026,Huntington Pk,CA,suburban,Los Angeles Unif Sch Dist,Los Angeles,f,f,Ms.,Literacy,Literacy & Language,,,Technology,high poverty,Grades 3-5,1037.73,31,f,2/1/12,5/3/12
1b0c41260fd2e308ebfc96f3d7f5ba54,b78c8a88a1517e3ac40b65c013e41399,0bb7440632f2dac1eeab0eb62ec712c4,360009000000,40.868961,-73.861023,Bronx,NY,urban,New York City Dept Of Ed,Bronx,f,f,Mrs.,Other,Applied Learning,,,Supplies,highest poverty,Grades PreK-2,406.67,27,f,6/25/13,7/16/13
3539146cb588f028f3c5b75fac4b86ca,424b6da235da9cdf8b1a0142bafcf771,9fbe2d7851935342a5ed0890fea2d17d,220087000000,30.283183,-92.006847,Lafayette,LA,suburban,Lafayette Parish Sch District,Lafayette,f,f,Mrs.,Literature & Writing,Literacy & Language,,,Supplies,highest poverty,Grades 6-8,857.12,47,f,10/29/13,12/3/13
3c4263ef73b2a5a33a57c3932ec152b5,e72e6f73605bb0567f648ae7756a4a11,3815c2a14fddefea9754c0cf3cb47517,450351000000,35.045187,-81.972016,Boiling Spgs,SC,suburban,Spartanburg School District 2,Spartanburg,f,f,Ms.,Applied Sciences,Math & Science,,,Technology,high poverty,Grades 9-12,279.27,150,f,11/19/12,2/2/13
449fb6319bc8d1a83339c3c7c51536aa,a99a9368184b20570098f883c0c308a5,77fdf5156a1775e5c644fa46807c9905,482574000000,30.018622,-95.574306,Houston,TX,suburban,Klein Ind School District,Harris,f,f,Mrs.,Literacy,Literacy & Language,ESL,Literacy & Language,Technology,high poverty,Grades 6-8,601.88,85,t,4/6/13,5/11/13
a94754fe42bb4363b54c103d69b16f7b,e6bf74851894e3ca5ba0185c253c2bc1,1073278ff4b8c9d28f7bc9a859cad32c,291383000000,38.771156,-90.228486,Saint Louis,MO,,Hazelwood School District,St Louis,f,f,Mr.,Literature & Writing,Literacy & Language,Visual Arts,Music & The Arts,Technology,highest poverty,Grades 6-8,473.16,175,f,4/22/12,6/11/12
70ff4d3f655e807d4127b64460fbdeb3,fdf52879fd0cf860e079ac6e2e6ac92a,1ac1889dc06044dc933aeaa1ddfbb5be,61668002096,33.909057,-118.357703,Hawthorne,CA,suburban,Hawthorne School District,Los Angeles,f,f,Ms.,Environmental Science,Math & Science,,,Technology,highest poverty,Grades PreK-2,884.2,32,f,9/3/13,10/16/13
50a959e7786e36ce47a5f27cdbf717aa,a659acf1ba3d3a6661dc7950e75c3394,e892a6ef66cf329af7906766416a3cd5,230993000000,43.684369,-70.260211,Portland,ME,urban,Portland Public School Dist,Cumberland,f,f,Mrs.,Mathematics,Math & Science,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades 3-5,231.54,19,t,10/21/12,12/8/12
416030f9e4d6083b1cfd765779e67802,8e41fb1f26005df801b8c19c4f80af97,fd7fa49d66e3f50e6fe4e748ae0629ce,360008000000,40.713148,-73.991239,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,f,Ms.,Literacy,Literacy & Language,Social Sciences,History & Civics,Other,highest poverty,Grades 3-5,424.44,25,f,8/14/13,10/7/13
893270e654b2915eb472e7d8f2773380,228beeea0c2425cfd95d0d2e0139bb2b,6b7943526ecd645ffe1f3e418d794904,360008000000,40.80616,-73.94802,New York,NY,urban,New York City Dept Of Ed,New York (Manhattan),f,t,Ms.,Mathematics,Math & Science,Applied Sciences,Math & Science,Supplies,highest poverty,Grades PreK-2,538.93,20,t,9/27/13,11/10/13
055f4d390fe2d1a0a3d8d02e244d8d37,9bcead971fe9fa483bf7b39761694690,c2a406c8118765368f801359daf0bd25,160210000000,43.648255,-116.41962,Meridian,ID,,Meridian Joint School Dist 2,Ada,f,f,Mrs.,Literacy,Literacy & Language,Mathematics,Math & Science,Technology,moderate poverty,Grades 3-5,466.94,27,f,2/16/13,3/22/13
83aec2949f3f0c20bd197240186939de,7235edc807c50f4f97e53bcde749be27,0f1eb16d42697ae013b71bd9e8c40cb6,550573000000,42.569057,-89.881316,South Wayne,WI,rural,Black Hawk School District,Lafayette,f,f,Mrs.,Mathematics,Math & Science,,,Supplies,high poverty,Grades PreK-2,320.67,16,t,9/4/13,10/27/13
8f5f59dec089f0ab34de661c09d471d1,1a8ebc8a90fbc73defc760196eaab850,380f892103330ba9c2732705155611fa,130528000000,32.901758,-84.30164,Thomaston,GA,rural,Thomaston-upson Co Sch Dist,Upson,f,f,Mrs.,Nutrition,Health & Sports,Health & Wellness,Health & Sports,Technology,highest poverty,Grades PreK-2,610.52,27,t,3/29/13,4/10/13
f21b20f14d2dec873d6967c63dbc6bd3,d54f9e4b4c4a4c855703024890075598,9c2b081a20faa2a7090f31c02655db66,170993000000,41.970848,-87.709555,Chicago,IL,urban,O'hare Elementary Network,Cook,f,f,Mrs.,Music,Music & The Arts,Literacy,Literacy & Language,Books,moderate poverty,Grades 3-5,343.33,450,f,1/24/13,3/9/13
b40e7f5e6bd2049f04f5d3f02d5035e4,96311d291f4f1887516ea69c8ddad77d,048e378cd35898d38f2549266ded10d4,120087000000,27.958338,-82.450081,Tampa,FL,urban,Hillsborough Co Pub Sch Dist,Hillsborough,f,f,Ms.,Music,Music & The Arts,,,Supplies,highest poverty,Grades 3-5,454.59,100,t,9/13/13,11/1/13
b5c19a74e00a2d192ce966b2f76f7995,7d8731099963b1c3c985bd38537e2ecd,94358e5e7c95f7e525d644247f69c723,,33.978065,-118.234314,Huntington Pk,CA,suburban,California Dept of Education,Los Angeles,t,f,Ms.,Literacy,Literacy & Language,,,Books,high poverty,Grades 3-5,526.86,30,t,9/29/12,12/18/12
649dc9ec4fa77b7bb447757be3772d30,e4c38afb0e7aa3872ab3b545493ebf2d,26197aacfe1de905fa6423b101c438fa,61968010969,36.210152,-121.126452,King City,CA,,King City Union School Dist,Monterey,t,f,Mrs.,Mathematics,Math & Science,Literacy,Literacy & Language,Technology,highest poverty,Grades PreK-2,887.05,21,f,3/1/12,5/29/12
026f1c960a25b0b483386a9be15a83d0,7075d5b5c043789663ec8c1d8f51ac61,21e5fd7749903aaa0d47b7902c5ab602,120087000000,27.957396,-82.437378,Tampa,FL,urban,Hillsborough Co Pub Sch Dist,Hillsborough,f,t,Mr.,Health & Life Science,Math & Science,Environmental Science,Math & Science,Technology,high poverty,Grades 3-5,646.46,44,t,6/26/13,8/3/13
ec4527c1f1ff9edea9e8e51515b099d6,87eab5285099fe4bf83c8a329c1a6267,a435a9bb1e4fdc7e354655e82a0812ad,61668008503,33.916283,-118.336473,Hawthorne,CA,suburban,Hawthorne School District,Los Angeles,f,f,Ms.,Mathematics,Math & Science,Early Development,Applied Learning,Technology,highest poverty,Grades PreK-2,527.05,31,t,4/13/13,6/1/13
ca3cdf147fdc3e16ec2fea2039a9607d,9939c6f82727bd1dc0783bab138924fb,e7ccaf3eff3c5b964ab9f505d122feb3,402025000000,35.334083,-97.469271,Moore,OK,suburban,Moore School District I-2,Cleveland,f,f,Mrs.,Literature & Writing,Literacy & Language,Literacy,Literacy & Language,Books,high poverty,Grades 6-8,547.34,140,t,9/8/13,11/2/13
442ec85fe3d2a38520bdab1a84112a6e,043c04b40b29f25a8f111c9d1deffce8,d9210f97f5a98cf74737e1546bb49bc7,450363000000,34.947765,-81.981094,Spartanburg,SC,suburban,Spartanburg School District 6,Spartanburg,f,f,Ms.,Literacy,Literacy & Language,,,Technology,high poverty,Grades PreK-2,187.15,21,f,1/27/13,3/1/13
bc8181cb9aaa062f7551cf74a7f5e0b8,69309fb22473bbda5eb7350b89de94e1,80f6747fe7989ab4fc77343804e0ce5a,63789006391,35.417572,-119.020934,Bakersfield,CA,suburban,Standard School District,Kern,f,f,Mrs.,Mathematics,Math & Science,,,Technology,highest poverty,Grades 6-8,1611.49,174,f,9/1/13,12/15/13
5c103bb81bc49944b5df42c459ee0d53,714aa96b8ab644a22a01ca7841709c07,87ae054e2d9c560a2494c8511e6cd9ed,170993000000,41.803885,-87.590334,Chicago,IL,urban,South Side Hs Network,Cook,f,t,Ms.,College & Career Prep,Applied Learning,,,Technology,highest poverty,Grades 9-12,646.46,150,f,4/13/13,4/20/13
fc06a589d721a9b9f99583849028b768,cc3d7b77b3e5ec51b1de3f81b96e60ac,c7c9eb5ede50359c8c6a76b0cc3ce04a,120015000000,28.262985,-80.744217,Melbourne,FL,rural,Brevard Co School District,Brevard,f,f,Mrs.,Literature & Writing,Literacy & Language,Health & Life Science,Math & Science,Technology,moderate poverty,Grades PreK-2,577.64,18,f,7/22/12,10/22/12
3e04583367b60fd80a87d1300dc9d56b,ad997c875511327a8466b88694068382,99c93e39c356cfb10129d250cad60514,210299000000,38.255934,-85.78972,Louisville,KY,urban,Jefferson Co School District,Jefferson,f,t,Ms.,Visual Arts,Music & The Arts,,,Supplies,highest poverty,Grades PreK-2,569.91,25,t,9/28/13,1/4/14
e138bbc382d5f6899a357473be7d50fe,271a7b5012a932a0ba33b65192266ac1,ea3556d901c8775ae0b7fffcd0808d6a,483240000000,30.132754,-95.28969,Porter,TX,rural,New Caney Ind School District,Montgomery,f,f,Mrs.,Character Education,Applied Learning,Literacy,Literacy & Language,Books,high poverty,Grades PreK-2,489.95,44,f,12/15/12,12/22/12
edaa69c7edf844e9c8019600cf23046d,bb95fe829b16050a48d0e4d7d16d4004,c0590d50ba9ad328c979de31bd82a05d,340783000000,40.718884,-74.084281,Jersey City,NJ,suburban,Jersey City Public School Dist,Hudson,f,f,Mrs.,Special Needs,Special Needs,Literature & Writing,Literacy & Language,Technology,highest poverty,Grades PreK-2,1030.02,23,f,1/28/12,2/16/12
36bd528c2acf5fe8d1a45de0c1d0804e,0b3ac879057a5b6a23e1e9807df8c374,b7cde3a7b02adb69da4df84b8dce0d9a,120009000000,30.19886,-85.838388,P C Beach,FL,,Bay Co School District,Bay,f,f,Mrs.,Visual Arts,Music & The Arts,Literature & Writing,Literacy & Language,Supplies,highest poverty,Grades PreK-2,504.65,18,f,4/7/13,7/12/13
580703762c04645292a544669ec8264e,c2b3f6e387f5e3d7fd47900113ee2389,af8f0e6bf48dfc2eaba6c97a88ec2098,484071000000,31.697409,-106.218649,El Paso,TX,,Socorro Ind School Dist,El Paso,f,f,Ms.,Character Education,Applied Learning,Visual Arts,Music & The Arts,Technology,highest poverty,Grades 3-5,843.48,28,f,12/9/13,1/22/14
